String,Admin Roles,Content Roles,End User,From Mukurtu
"<p class=""fieldgroup-help"">Fields can be dragged into groups with unlimited nesting. Each fieldgroup format comes with a configuration form, specific for that format type.<br />Note that some formats come in pair. These types have a html wrapper to nest its fieldgroup children. E.g. Place accordion items into the accordion, vertical tabs in vertical tab group and horizontal tabs in the horizontal tab group. There is one exception to this rule, you can use a vertical tab without a wrapper when the additional settings tabs are available. E.g. node forms.</p>",,,,
"<p class=""text-align-center"">Explore recipes across every type of occasion, ingredient, and skill level.</p>",,,,
"<p class=""text-align-center"">Explore recipes across every type of occasion, ingredient, and skill level</p>",,,,
<p>[message:field_content_type] item&nbsp;<em>[message:field_title]</em> was deleted.</p>,,,,
"<p>[message:field_item:entity:field_content_type] item&nbsp;<a href=""[message:field_item:entity:url]"">[message:field_item:entity:title]</a> has been added to <a href=""[message:field_collection:entity:url]"">[message:field_collection:entity:title]</a>.</p>",,,,
"<p>[message:field_item:entity:field_content_type] item&nbsp;<a href=""[message:field_item:entity:url]"">[message:field_item:entity:title]</a> has been added to <a href=""[message:field_community:entity:url]"">[message:field_community:entity:title]</a>.</p>",,,,
"<p>[message:field_item:entity:field_content_type] item&nbsp;<a href=""[message:field_item:entity:url]"">[message:field_item:entity:title]</a> has been created.</p>",,,,
"<p>[message:field_item:entity:field_content_type] item&nbsp;<a href=""[message:field_item:entity:url]"">[message:field_item:entity:title]</a> has been updated.</p>",,,,
"<p>[message:field_item:entity:field_content_type] item&nbsp;<a href=""[message:field_item:entity:url]"">[message:field_item:entity:title]</a>&nbsp;is now available in protocol <a href=""[message:field_protocol:entity:url]"">[message:field_protocol:entity:title]</a>.</p>",,,,
"<p>New user registration: <a href=""[message:field_user:entity:url]"">[message:field_user:entity:field_display_name] ([message:field_user:entity:account-name])</a> has requested an account and requires action.</p>",,,,
<p>This is a one-time login for %user_name and will expire on %expiration_date.</p><p>Click on this button to log in to the site and change your password.</p>,x,,,
<p>This is a one-time login for %user_name.</p><p>Click on this button to log in to the site and change your password.</p>,x,,,
"<p>You can align images, videos, blockquotes and so on to the left, right or center. Examples:</p>",,,,
"<p>You can caption images, videos, blockquotes, and so on. Examples:</p>",,,,
<p>You can embed media items:</p>,,,,
<q>Log in</q> for anonymous users,,,,
"<span class=""by-author"">by @author_name</span> @created_date",,,,
"<span class=""visually-hidden"">Show </span>@title<span class=""visually-hidden""> media</span>",,,,
"<span class=""visually-hidden"">Show </span>@title<span class=""visually-hidden""> media</span><span class=""active-tab visually-hidden""> (selected)</span>",,,,
"<strong class=""error"">Set up the <a href="":file-system"">optimized assets file system path</a> to make these optimizations available.</strong>",,,,
<strong>@language_name (Original language)</strong>,,,,
"<strong>Appearance:</strong> Switch between themes, install themes, and update existing themes.",,,,
"<strong>Back up your code</strong>. Hint: when backing up module code, do not leave that backup in the 'modules' or 'sites/*/modules' directories as this may confuse Drupal's auto-discovery mechanism.",,,,
<strong>Back up your database</strong>. This process will change your database values and in case of emergency you may need to revert to a backup.,,,,
"<strong>Configuration:</strong> Configure the settings for various site functionality, including some contributed modules.",,,,
"<strong>Configure your website</strong> Once logged in, visit the <a href="":admin"">Administration page</a>, where you may <a href="":config"">customize and configure</a> all aspects of your website.",,,,
"<strong>Content:</strong> Find, manage, and create new pages; manage comments and files.",,,,
"<strong>Customize your website design</strong> To change the ""look and feel"" of your website, visit the <a href="":themes"">Appearance page</a>. You may choose from one of the included themes or download additional themes from the <a href="":download_themes"">Drupal.org themes page</a>.",,,,
<strong>Delete all content</strong> in these content types before generating new content.,,,,
"<strong>Do not add any content to the new site</strong> before upgrading. Any existing content is likely to be overwritten by the upgrade process. See <a href="":url"">the upgrade preparation guide</a>.",x,,,
"<strong>Enable additional functionality</strong> Next, visit the <a href="":modules"">Extend page</a> and install modules that suit your specific needs. You can find additional modules at the <a href="":download_modules"">Drupal.org modules page</a>.",,,,
"<strong>Entity Reference</strong> fields allow you to create fields that contain links to other entities (such as content items, taxonomy terms, etc.) within the site. This allows you, for example, to include a link to a user within a content item. For more information, see <a href="":er_do"">the online documentation for the Entity Reference module</a>.",,,,
"<strong>Extend:</strong> Update, install, and uninstall modules.",,,,
<strong>Help:</strong> Get help on using the administrative interface.,,,,
"<strong>If the old site has private files</strong>, a copy of its files directory must also be accessible on the host of this new site.",x,,,
"<strong>Install all modules on this new site</strong> that are enabled on the old site. For example, if the old site uses the Book module, then install the Book module on this new site so that the existing data can be imported to it.",x,,,
<strong>Label:</strong> @label<br /> <strong>Type:</strong> @type,,,,
<strong>Note:</strong> Field options do not appear until a type has been chosen and saved.,,,,
"<strong>Note:</strong> In 'Entity Reference' displays, all fields will be displayed inline unless an explicit selection of inline fields is made here.",,,,
"<strong>Note:</strong> there is no confirmation. Be sure of your action before clicking the ""Delete aliases now!"" button.<br />You may want to make a backup of the database and/or the path_alias and path_alias_revision tables prior to using this feature.",,,,
"<strong>Number fields</strong>: When you add a number field you can choose from three types: <em>decimal</em>, <em>float</em>, and <em>integer</em>. The <em>decimal</em> number field type allows users to enter exact decimal values, with fixed numbers of decimal places. The <em>float</em> number field type allows users to enter approximate decimal values. The <em>integer</em> number field type allows users to enter whole numbers, such as years (for example, 2012) or values (for example, 1, 2, 5, 305). It does not allow decimals.",,,,
<strong>People:</strong> Manage user accounts and permissions.,,,,
<strong>Reminder: don't forget to set the <code>$settings['update_free_access']</code> value in your <code>settings.php</code> file back to <code>FALSE</code>.</strong>,,,,
"<strong>Reports:</strong> Display information about site security, necessary updates, and site activity.",,,,
"<strong>Start posting content</strong> Finally, you may <a href="":content"">add new content</a> to your website.",,,,
"<strong>Structure:</strong> Place and edit blocks, set up content types and fields, configure menus, administer taxonomy, and configure some contributed modules.",x,,,
"<strong>Warning</strong>: Layout Builder does not support translating layouts. (<a href=""https://www.drupal.org/docs/8/core/modules/layout-builder/layout-builder-and-content-translation"">online documentation</a>)",,,,
<sub>Sub</sub>scripted,,,,
<sup>Super</sup>scripted,,,,
<ul>,,,,
<ul>,,,,
<ul>,,,,
<ul>,,,,
=,,,,
=- Hidden - format settings,,,,
=- Install @name @constraint,,,,
=- Installed @name @version,,,,
=- Uninstalled @name,,,,
=- Update @name from @installed_version to @constraint,,,,
=- Updated @name from @installed_version to @updated_version,,,,
=@action @title configuration options,x,,,
=@admin_label (multiple calls),,,,
=@argument input,,,,
=@argument title,,,,
=@backend connection settings,,,,
=@block block,,,,
=@bundle @label,,,,
=@bundle types,,,,
=@bundle_type is @bundle,,,,
=@change_list,,,,
=@change_list,,,,
=@collection configuration collection,,,,
=@data,,,,
=@datasource datasource,,,,
=@Description,,,,
=@driver_name settings,,,,
=@entity,,,,
=@entity being viewed,,,,
=@entity fields,,,,
=@entity types,,,,
=@entity using @field,,,,
=@entity using @field_name,,,,
=@entity_label flag,,,,
=@entity_type @method,,,,
=@entity_type relationship,,,,
=@entity_type revision,,,,
=@entity_type revisions,,,,
=@entity_type selection,,,,
=@entity_type_label ID,,,,
=@entity_type_label: @entity_bundle_label,,,,
=@errors,,,,
=@field (indexed field),,,,
=@field field,,,,
=@field_name,,,,
=@field_name (Locked),,,,
=@field_name: @label,,,,
=@fieldName has changed to @FIELDVALUE,,,,
=@format,,,,
=@group (historical data),,,,
=@group (historical data): @field,,,,
=@group: @field,,,,
=@group: @title,,,,
=@ID (@label),,,,
=@indexed/@total indexed,,,,
=@interval,,,,
=@interval hence,,,,
=@label,,,,
=@label (@COLUMN),,,,
=@label (@derivative),,,,
=@label (@name),,,,
=@label (@name:@COLUMN),,,,
=@label (@TYPE),,,,
=@label (current),,,,
=@label (disabled),,,,
=@label being aliased,,,,
=@label bundle,,,,
=@label entities,,,,
=@label fields,,,,
=@label has been removed.,,,,
=@label ID,,,,
=@label of @entity_type (bundle: @bundle),,,,
=@label referenced from @field_name,,,,
=@label revision,,,,
=@label revision ID,,,,
=@label tokens.,,,,
=@label: Deleted @revision_count revisions (@entity_count entities) in @interval.,,,,
=@label:@COLUMN,,,,
=@language (original),,,,
=@lifecycle,,,,
=@list,,,,
=@low_version_number to @high_version_number,,,,
=@message,,,,
=@messages,,,,
=@methods,,,,
=@module,,,,
=@module administration pages,,,,
=@module module,,,,
=@module_name,,,,
=@name,,,,
=@name field is required.,,,,
=@name format: @DATE,,,,
=@name module,,,,
=@name requires this module.,,,,
=@name: @langcode,,,,
=@on_label / @off_label,,,,
=@project_name (@package_name) @version,,,,
=@Region Region in @section,,,,
=@required_name (Missing),,,,
=@required_name (version @compatibility required),,,,
=@requirements_message (Currently using @item version @version),,,,
"=@section, Region: @Region",,,,
=@shape,,,,
=@site is Currently under maintenance. We should be back shortly. Thank you for your patience.,,,,
=@size EB,,,,
=@size GB,x,x,,
=@size KB,x,x,,
=@size limit.,x,x,,
=@size MB,x,x,,
=@size PB,,,,
=@size TB,,,,
=@size YB,,,,
=@size ZB,,,,
=@source_name to @target_name,,,,
=@theme,,,,
=@theme theme,,,,
=@title,,,,
=@title sub-navigation,,,,
=@toolkit settings,,,,
=@type_label bundle,,,,
=@unsupported<br>@ref,,,,
=@uri,,,,
=@view : @display,,,,
=@view views block,,,,
=@view: @display,,,,
>,,,,
>=,,,,
« first,,,,
« First,,,,
…,,,,
… @excerpt … @excerpt …,,,,
0 sec,,,,
0 seconds,,,,
-1 (Unlimited),,,,
1 second,,,,
12 hour time,,,,
123ABC,,,,
123abc,,,,
24 hour time,,,,
3:2 Image,,,,
300 Multiple Choices,,,,
301 Moved Permanently,,,,
302 Found,,,,
303 See Other,,,,
304 Not Modified,,,,
305 Use Proxy,,,,
307 Temporary Redirect,,,,
"404 (or Not Found) error message is an HTTP standard response code indicating that the client was able to communicate with a given server, but the server could not find what was requested. Please install the <a href="":extend"">Redirect 404</a> submodule to be able to log all paths that have resulted in 404 errors.",x,,,
404 error database logging settings.,,,,
404 error database logs to keep,,,,
404 error database logs to keep.,,,,
A @entity_type with @field_name %value already exists.,,,,
A @type aggregation of the following fields: @fields.,,,,
"A <em>content entity</em> (or more commonly, <em>entity</em>) is an item of content data, which can consist of text, HTML markup, images, attached files, and other data. Content entities are grouped into <em>entity types</em>, which have different purposes and are displayed in very different ways on the site. Most entity types are also divided into <em>entity sub-types</em>, which are divisions within an entity type to allow for smaller variations in how the entities are used and displayed. For example, the <em>Content item</em> entity type that stores page-level content is divided into <em>content type</em> sub-types; the <em>Content block</em> entity type has <em>block types</em>; but the <em>User</em> entity type (for user profile information) does not have sub-types.",,,,
"A <em>content item</em> is a type of content entity for page-level content, which can have fields that store text, HTML markup, images, attached files, and other data. See @content_structure_topic for more about content entities and fields.",,,,
"A <em>formatter</em> is a way to display a field; most field types offer several types of formatters, and most formatters have settings that further define how the field is displayed. It is also possible to completely hide a field from display, and you have the option of showing or hiding the field's label when it is displayed.",,,,
"A <em>layout</em> is a template that defines where blocks and other pieces of content should be displayed. The core Layout Discovery module allows modules and themes to register layouts, and the core Layout Builder module provides a visual interface for placing fields and blocks in layouts for entity sub-types and individual entity items (see @content_structure_topic for more on entities and fields).",,,,
"A <em>module</em> is a set of PHP, JavaScript, and/or CSS files that extends site features and adds functionality. A set of <em>Core modules</em> is distributed as part of the core software download. Additional <em>Contributed modules</em> can be downloaded separately from the <a href=""https://www.drupal.org/project/project_module"">Download &amp; Extend page on drupal.org</a>.",,,,
"A <em>reference field</em> is a field that stores a relationship between an entity and one or more other entities, which may belong to the same or different entity type. For example, a <em>Content reference</em> field on a content type stores a relationship between one content item and one or more other content items.",,,,
"A <em>theme</em> is a set of files that define the visual look and feel of your site. The core software and modules that run on your site determine which content (including HTML text and other data stored in the database, uploaded images, and any other asset files) is displayed on the pages of your site. The theme determines the HTML markup and CSS styling that wraps the content. Several basic themes are supplied with the core software; additional <em>contributed themes</em> can be downloaded separately from the <a href=""https://www.drupal.org/project/project_theme"">Download &amp; Extend page on drupal.org</a>, or you can create your own theme.",,,,
"A <em>view</em> is a listing of items on your site; for example, a block showing the most recent comments, a page listing news items, or a list of registered users. The listings can be formatted in a table, grid, list, calendar, RSS feed, and other formats (some output formats may require you to install additional contributed modules).",,,,
"A <em>widget</em> is a way to edit a field. Some field types, such as plain text single-line fields, have only one widget available (in this case, a single-line text input field). Other field types offer choices for the widget; for example, single-valued <em>List</em> fields can use a <em>Select</em> or <em>Radio button</em> widget for editing. Many widget types have settings that further define how the field can be edited.",,,,
"A backup checkpoint was not created because nothing has changed since the ""{active}"" checkpoint was created.",,,,
"A banner block contains a title, summary, link to content and a background image. The background image is scaled to fill the browser's width.",x,,,
"A base theme is a theme that is not meant to be used directly on a site, but instead acts as a scaffolding for building other themes. The core Stable 9 theme is one example; other base themes can be downloaded from the <a href=""https://www.drupal.org/project/project_theme"">Download &amp; Extend page on drupal.org</a>.",x,,,
A base theme using Drupal 9.0.0's core markup and CSS.,,,,
A basic block contains a title and a body.,x,,,
"A basic text transcription of an audio or video recording, or of text in an image or document. Including a transcription allows the text to be discoverable when searching for digital heritage items.",x,x,,x
A boolean indicating whether the Community is published.,,,,
A boolean indicating whether the Language community is published.,,,,
A boolean indicating whether the node is visible on the front page.,,,,
A boolean indicating whether the node should sort to the top of content lists.,,,,
A boolean indicating whether the Protocol is published.,,,,
A boolean indicating whether the translation is visible to non-translators.,,,,
A boolean indicating whether this block is reusable.,,,,
A boolean indicating whether this translation needs to be updated,,,,
A boolean indicating whether this translation needs to be updated.,,,,
"A breakpoint separates the height or width of viewports (screens, printers, and other media output types) into steps. For instance, a width breakpoint of 40em creates two steps: one for widths up to 40em and one for widths above 40em. Breakpoints can be used to define when layouts should shift from one form to another, when images should be resized, and other changes that need to respond to changes in viewport height or width.",,,,
A brief description of your block.,x,,,
A Brief Description or Title of the Teaching,x,x,,x
A certain key,,,,
"A clean, accessible, and flexible Drupal front-end theme.",,,,
"A clean, accessible, and powerful Drupal administration theme.",,,,
A client error happened,,,,
A collection of dictionary words.,x,x,,x
A collection of digital heritage items.,x,x,,x
"A comment is a piece of content, typically posted by a website visitor, which provides discussion or commentary on other content like blog posts and news articles. Comments are a type of content entity, and can have fields that store text, HTML markup, and other data. Comments are attached to other content entities via Comment fields. See @content_structure_topic for more about content entities and fields.",,,,
"A comment that is associated with this file, usually because this file is in a field on the comment.",,,,
A confirmation request to cancel the account %name has been sent to the user's email address.,,,,
A confirmation request to cancel your account has been sent to your email address.,,,,
A date in '@type' format. (%date),x,x,,
A date in any machine readable format. CCYY-MM-DD HH:MM:SS is preferred.,x,x,,
A description of field.,,,,
A description of the menu,,,,
"A dictionary word can have multiple word entries within it. This allows for more granular presentation of word conjugations, declensions, other forms (eg: gendered or plural forms), or display of closely connected forms of the word. Only the main word is shown when searching or browsing. </br>Each word entry can include all fields from the Mukurtu Essentials tab except cultural protocols, sharing setting, language, and glossary, since those describe the dictionary word as a whole. </br>Word entries can be rearranged and collapsed for easier editing. To create additional word entries, select ""Add Word Entry"".",x,x,,x
A directory relative to Drupal's files directory where uploaded images will be stored.,,,,
A disclaimer block contains disclaimer and copyright text.,,,,
A display whose path ends with a % cannot be a tab.,,,,
A Drupal path or external URL the more link will point to. Note that this will override the link display setting above.,,,,
A feed of announcements about the Drupal project and Drupal Association programs.,,,,
"A few of the settings for image fields are defined once when you create the field and cannot be changed later; these include the choice of public or private file storage and the number of images that can be stored in the field. The rest of the settings can be edited later; these settings include the field label, help text, allowed file extensions, image dimensions restrictions, and the subdirectory in the public or private file storage where the images will be stored. The editable settings can also have different values for different entity sub-types; for instance, if your image field is used on both Page and Article content types, you can store the files in a different subdirectory for the two content types.",x,,,
"A few types of edits can be done in bulk to multiple content items. For example, to publish several unpublished content items, check the boxes in the left column (right column in right-to-left languages) to select the desired content items. For <em>Action</em>, select the <em>Publish content</em> action. Click <em>Apply to selected items</em> to make the change. The other actions under <em>Action</em> work in a similar manner.",x,x,,x
A field group,x,,,
A field to cite Indigenous elders and Knowledge Keepers.,x,x,,x
A field widget for Layout Builder.,,,,
"A file that is associated with this comment, usually because it is in a field on the comment.",,,,
"A file that is associated with this node, usually because it is in a field on the node.",,,,
"A file that is associated with this taxonomy term, usually because it is in a field on the taxonomy term.",,,,
"A file that is associated with this user, usually because it is in a field on the user.",,,,
A flag for whether the link should be enabled in menus or hidden.,,,,
"A flag for whether the link should be rendered in menus. (1 = a disabled menu link that may be shown on admin screens, -1 = a menu callback, 0 = a normal, visible link)",,,,
A flag indicating whether this is the default translation.,,,,
A flag indicating whether this was a default revision when it was saved.,,,,
"A flag to indicate if the link points to a full URL starting with a protocol, like http:// (1 = external, 0 = internal).",,,,
"A flag to indicate that the user has manually created or edited the link (1 = customized, 0 = not customized).",,,,
"A footer promo block contains a title, promo text, and a ""find out more"" link.",x,,,
"A fresh Drupal installation only uses supported Composer plugins, but some modules or themes may depend on additional Composer plugins. <a href="":new-issue"">Create a new issue</a> when you encounter this.",x,,,
A full external URL,x,,,
A Gettext Portable Object file.,x,,,
"A help topic describes a concept, or steps to accomplish a task, related to a feature provided by one or more modules or themes. If the core Search module is enabled, these topics are also searchable.",x,,,
A label is required for the specified operator.,,,,
A label is required if the value for this item is defined.,,,,
"A language detection method is a way for your site to decide what language should be used to display text. This decision is made by evaluating a series of detection methods for languages; the first detection method that gets a result will determine which language is used. If you have more than one language on your site, you can configure the detection methods that are used and the order they are evaluated, for both user interface text and content text. Configuration text always uses the interface text method, and most sites use the same detection methods for all types of text.",,,,
A language object.,,,,
"A layout consists of one or more <em>sections</em>. Each section can have from one to four <em>columns</em>. You can place blocks, including special blocks for the fields on the entity sub-type, in each column of each section (see @block_overview_topic for more on blocks).",x,,,
A layout section,,,,
"A list of classes that will be provided in the ""Style"" dropdown. Enter one or more classes on each line in the format: element.classA.classB|Label. Example: h1.title|Title. Advanced example: h1.fancy.title|Fancy title.<br />These styles should be available in your theme's CSS file.",,,,
"A list of HTML tags that can be used while editing source. It is only necessary to add tags that are not already supported by other enabled plugins. For example, if ""Bold"" is enabled, it is not necessary to add the <code>&lt;strong&gt;</code> tag, but it may be necessary to add <code>&lt;dl&gt;&lt;dt&gt;&lt;dd&gt;</code> in a format that does not have a definition list plugin, but requires definition list markup.",,,,
"A list of HTML tags that can be used. By default only the <em>lang</em> and <em>dir</em> attributes are allowed for all HTML tags. Each HTML tag may have attributes which are treated as allowed attribute names for that HTML tag. Each attribute may allow all values, or only allow specific values. Attribute names or values may be written as a prefix and wildcard like <em>jump-*</em>. JavaScript event attributes, JavaScript URLs, and CSS are always stripped.",,,,
A list of new users,,,,
"A list of programming languages that will be provided in the ""Code Block"" dropdown. Enter one value per line, in the format key|label. Example: php|PHP.",,,,
A list of users that are currently logged in.,,,,
A local file system path where interface translation files will be stored.,x,,,
A local file system path where optimized assets files will be stored. This directory must exist and be writable by Drupal. This directory must be relative to the Drupal installation directory and be accessible over the web. This must be changed in settings.php,x,,,
A local file system path where public files will be stored. This directory must exist and be writable by Drupal. This directory must be relative to the Drupal installation directory and be accessible over the web. This must be changed in settings.php,x,,,
A local file system path where temporary files will be stored. This directory should not be accessible over the web. This must be changed in settings.php.,x,,,
A locally hosted audio file.,x,x,,
A locally hosted video file.,x,x,,
A longer definition or description of the entry. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.,x,x,,
A maximum of @count files can be uploaded.,,,,
A menu is a collection of <em>menu links</em> used to navigate a web site. Menus and menu links can be provided by modules or site administrators.,,,,
"A menu system, which you can navigate to find pages for administrative tasks. The core Toolbar module displays this menu on the top or left side of the page (right side in right-to-left languages). There are also contributed module replacements for the core Toolbar module, with additional features, such as the <a href=""https://www.drupal.org/project/admin_toolbar"">Admin Toolbar module</a>.",,,,
A module defined group of translations,,,,
A name to show.,,,,
A new item has been added to a collection.,x,x,,x
A new item has been added to a community.,x,x,,x
A new item has been added to a protocol.,x,x,,x
A new user has registered with the site and needs approval.,x,x,,
"A non-existent config entity name returned by FieldStorageConfigInterface::getBundles(): entity type: %entity_type, bundle: %bundle, field name: %field",,,,
A paragraph type that appears on the Dictionary Word content type.,,,,
"A path alias set for a specific language will always be used when displaying this page in that language, and takes precedence over path aliases set as <em>- Not specified -</em>.",,,,
"A path is the unique, last part of the URL for a specific function or piece of content. For example, for a page whose full URL is <em>https://example.com/node/7</em>, the path is <em>node/7</em>. Here are some examples of paths you might find in your site:",,,,
A plugin introduced support for the following:,,,,
"A pronunciation guide used to teach language learners the correct pronunciation of the entry. Pronunciation guides may use a standard phonetic alphabet or whatever notation system is used by speakers and teachers of the language, eg: indicating stress with bold text or capitalizing syllables. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.",x,x,,x
A random hash. The possible hashing algorithms are: @hash-algos.,,,,
A random number from 0 to @max.,,,,
"A redirect set for a specific language will always be used when requesting this page in that language, and takes precedence over redirects set for <em>All languages</em>.",,,,
A remotely hosted video from YouTube or Vimeo.,x,x,,
A report containing the results of a batch import.,x,,,
A request to cancel your account has been made at [site:name].,,,,
A request to reset the password for your account has been made at [site:name].,,,,
A responsive image style associates an image style with each breakpoint defined by your theme.,,,,
"A role defines a group of users that have certain privileges. These privileges are defined on the <a href="":permissions"">Permissions page</a>. Here, you can define the names and the display sort order of the roles on your site. It is recommended to order roles from least permissive (for example, Anonymous user) to most permissive (for example, Administrator user). Users who are not logged in have the Anonymous user role. Users who are logged in have the Authenticated user role, plus any other roles granted to their user account.",x,,,
"A security advisory is a public announcement about a reported security problem in the core software. Contributed projects with a shield icon and ""Stable releases for this project are covered by the security advisory policy"" on their project page are also covered by Drupal's security advisory policy. Security advisories are managed by the <a href=""https://www.drupal.org/drupal-security-team"">Drupal Security Team</a>.",,,,
"A serialized array of options to set on the URL, such as a query string or HTML attributes.",,,,
A set of improvements to the core Views code that allows for greater control over Blocks.,,,,
"A set of location related fields that include mapping/geographic data for visually placing and displaying collections, as well as descriptive and taxonomic fields.",x,x,,x
"A set of location related fields that include mapping/geographic data for visually placing and displaying dictionary words, as well as descriptive and taxonomic fields.",x,x,,x
"A set of location related fields that include mapping/geographic data for visually placing and displaying digital heritage items, as well as descriptive and taxonomic fields.",x,x,,x
"A set of location related fields that include mapping/geographic data for visually placing and displaying person records, as well as descriptive and taxonomic fields.",x,x,,x
"A set of location related fields that include mapping/geographic data for visually placing and displaying word lists, as well as descriptive and taxonomic fields.",x,x,,x
A short name to help you identify this pattern in the patterns list.,,,,
A short summary of the collection. The summary should supplement the title. The summary is displayed as part of the collection preview when browsing the site. Maximum 255 characters.,x,x,,x
A short summary of the digital heritage item. The summary should supplement the title and help distinguish between similar items. The summary is displayed as part of the item preview when browsing the site. </br>Maximum 255 characters.,x,x,,x
A short summary of the word list. The summary should supplement the title. The summary is displayed as part of the word list preview when browsing the site. Maximum 255 characters.,x,x,,x
"A short, descriptive name for the collection. The name should give users useful information about the collection when browsing or searching. Maximum 255 characters.",x,x,,x
"A short, descriptive name for the digital heritage item. The title should give users useful information about the item when browsing or searching. Titles do not have to be unique. </br>Maximum 255 characters.",x,x,,x
"A short, descriptive name for the multipage item. The title should give users useful information about the item when browsing or searching. Maximum 255 characters. </br>The title will default to the title or name of the content used as the first page, but can be changed.",x,x,,x
"A short, descriptive name for the word list. The name should give users useful information about the word list when browsing or searching. Maximum 255 characters.",x,x,,x
"A simple configuration item is a group of settings, such as the settings for a module or theme. Each simple configuration item has its own unique structure.",,,,
A simple pager containing previous and next links.,,,,
A site administrator at [site:name] has created an account for you. You may now log in by clicking this link or copying and pasting it into your browser:,x,x,x,
A sql aggregation type,,,,
"A statement about the appropriate rights and usage regarding the digital heritage item, media asset, or presented knowledge. This may include identifying the legal or traditional rights holder. If the rights holder should be contacted for permission to use, reproduce, circulate, reference, or cite the item, provide their contact information. </br>Maximum 255 characters.",,,,
"A string that will be prepended to every message logged to Syslog. If you have multiple sites logging to the same Syslog log file, a unique identity per site makes it easy to tell the log entries apart.",,,,
A string to identify the area instance in the admin UI.,,,,
A string to identify the handler instance in the admin UI.,,,,
A style can only be specified for an HTML 5 tag. <code>@tag</code> is not an HTML5 tag.,,,,
A style must only specify classes not supported by other plugins. The <code>@classes</code> classes on <code>@tag</code> are already supported by the enabled %plugin plugin.,,,,
A style must only specify classes not supported by other plugins. The <code>@classes</code> classes on <code>@tag</code> are supported by the %plugin plugin. Remove this style and enable that plugin instead.,,,,
"A taxonomy term that is associated with this file, usually because this file is in a field on the taxonomy term.",,,,
"A text editor is software (typically, a JavaScript library) that provides buttons and other command mechanisms to make editing HTML text easier. Some editors are called <em>visual</em> or <em>WYSIWYG (What You See Is What You Get)</em> editors; these editors hide the details of HTML from the user, and instead show formatted output on the screen. The core Text Editor module provides a framework for deploying text editors on your site. The core CKEditor 5 module provides CKEditor 5, which is a widely-used JavaScript text editor that creates clean and valid HTML; the module also enforces the HTML tag restrictions in the associated text format. Various contributed modules provide other editors; to install a new editor, besides installing the module, you may need to download the editor library from a third-party site.",,,,
"A text filter is a processing step that can be applied to text, either to transform it in some way (such as converting URLs in the text into HTML links), or to defend against potentially-dangerous input from site users. A text format is an ordered sequence of text filters. Text filters are provided by modules; text formats are managed by the core Filter module.",,,,
"A text format contains filters that change the display of user input; for example, stripping out malicious HTML or making URLs clickable. Filters are executed from top to bottom and the order is important, since one filter may prevent another filter from doing its job. For example, when URLs are converted into links before disallowed HTML tags are removed, all links may be removed. When this happens, the order of filters may need to be rearranged.",,,,
A title semantically associated with your table for increased accessibility.,,,,
A unique ID per handler type,,,,
"A unique machine-readable name containing letters, numbers, and underscores.",,,,
"A unique machine-readable name for this View. It must only contain lowercase letters, numbers, and underscores.",,,,
"A unique machine-readable name. Can only contain lowercase letters, numbers, and underscores.",,,,
A unique name for this block instance. Must be alpha-numeric and underscore separated.,,,,
"A unique name to construct the URL for the menu. It must only contain lowercase letters, numbers and hyphens.",,,,
"A user is anyone accessing or viewing your site. <em>Anonymous</em> users are users who are not logged in, and <em>Authenticated</em> users are users who are logged in.",,,,
A user is considered online for this long after they have last viewed a page.,,,,
"A user that is associated with this file, usually because this file is in a field on the user.",,,,
"A user with the <em>Administer fields</em> permission for a certain entity type may add <em>Taxonomy term</em> reference fields to the entity type, which will allow entities to be classified using taxonomy terms. See the <a href="":entity_reference"">Entity Reference help</a> for more information about reference fields. See the <a href="":field"">Field module help</a> and the <a href="":field_ui"">Field UI help</a> pages for general information on fields and how to create and manage them.",,,,
"A user-defined date format. See the <a href=""https://www.php.net/manual/datetime.format.php#refsect1-datetime.format-parameters"">PHP manual</a> for available options.",,,,
A value is required if the label for this item is defined.,,,,
A value must be selected for %part.,,,,
A view to create a list of featured articles from the Umami website.,,,,
A view to list the items promoted to the top of the homepage.,,,,
"A web service allows your site to provide its content and data to other web sites and applications. Typically, the data is transported via <a href=""https://en.wikipedia.org/wiki/Hypertext_Transfer_Protocol"">HTTP</a> in a serialized machine-readable format.",,,,
"A welcome message with further instructions has been emailed to the new user <a href="":url"">%name</a>.",,,,
A welcome message with further instructions has been sent to your email address.,,,,
"A word, term, phrase, or other language element. </br>Maximum 255 characters.",x,x,,x
A worker for @queue queue suspended further processing of the queue.,,,,
A workspace with this ID has been deleted but data still exists for it.,,,,
Abbreviated 1 letter weekday FridayF,,,,
Abbreviated 1 letter weekday MondayM,,,,
Abbreviated 1 letter weekday SaturdayS,,,,
Abbreviated 1 letter weekday SundayS,,,,
Abbreviated 1 letter weekday ThursdayT,,,,
Abbreviated 1 letter weekday TuesdayT,,,,
Abbreviated 1 letter weekday WednesdayW,,,,
Abbreviated month nameApr,,,,
Abbreviated month nameAug,,,,
Abbreviated month nameDec,,,,
Abbreviated month nameFeb,,,,
Abbreviated month nameJan,,,,
Abbreviated month nameJul,,,,
Abbreviated month nameJun,,,,
Abbreviated month nameMar,,,,
Abbreviated month nameMay,,,,
Abbreviated month nameNov,,,,
Abbreviated month nameOct,,,,
Abbreviated month nameSep,,,,
Abbreviated weekdayFr,,,,
